ticker,date,weighted_joy,weighted_fear,weighted_anger,weighted_sadness,weighted_surprise,weighted_neutral,weighted_polarity,topic_score,headline_count,label_1d,label_3d,label_5d,emotion_std,weighted_joy_prev,weighted_fear_prev,weighted_anger_prev,weighted_sadness_prev,weighted_surprise_prev,dominant_emotion
TSLA,2024-08-13,0.002580959144668916,0.005288466205889377,0.0010742288374936445,0.0012040211163621855,0.4547674385238736,0.0025685237698920725,0.44978168150879716,0.8680806159973145,1,0,1,1,0.20225073756832906,0.1825993992476267,0.04124212021647094,0.013958241642658754,0.008475556761775006,0.6433935699655322,4
TSLA,2024-09-27,0.015884804895570797,0.0006532065450690894,0.001225271140543485,0.00015419312489853388,0.5516659916623183,0.004654278469936644,0.565518125747378,0.809097170829773,1,1,0,0,0.244798171902455,0.002580959144668916,0.005288466205889377,0.0010742288374936445,0.0012040211163621855,0.4547674385238736,4
TSLA,2024-10-01,0.05643830443155722,0.006565391458667344,0.011982052312431168,0.0066784876556412595,0.6895963535117885,0.019507037508863713,0.720808726516606,0.7112632989883423,1,0,0,0,0.2999962957191123,0.015884804895570797,0.0006532065450690894,0.001225271140543485,0.00015419312489853388,0.5516659916623183,4
TSLA,2024-10-04,0.2767100221359042,0.007571462406871999,0.12783534463846308,0.0012902436343211869,0.7478644041725993,0.0066821657707046185,0.8878773756288472,0.8707707226276398,2,0,0,0,0.3092572480298911,0.05643830443155722,0.006565391458667344,0.011982052312431168,0.0066784876556412595,0.6895963535117885,4
TSLA,2024-10-11,0.35998098410532364,0.007227294988499107,0.015293241094093663,0.006911999818387219,0.618534009482623,0.19456421229159024,0.9490824576869666,0.6823232769966125,1,1,1,1,0.27807952015611603,0.2767100221359042,0.007571462406871999,0.12783534463846308,0.0012902436343211869,0.7478644041725993,4
TSLA,2024-10-15,0.27286660145790614,0.016235755752100865,0.01788255875769356,0.002206259267266661,0.6353693506738978,0.008341889584682021,0.8719113783547427,0.7191872596740723,1,1,1,0,0.27399805190841714,0.35998098410532364,0.007227294988499107,0.015293241094093663,0.006911999818387219,0.618534009482623,4
TSLA,2024-10-23,0.00362284792723374,0.001435933257425409,0.0005878624722562108,0.0002781172637354362,0.5565794121117166,0.4709230543104468,0.5579003470455333,0.6079072952270508,1,1,1,1,0.24825091284513984,0.27286660145790614,0.016235755752100865,0.01788255875769356,0.002206259267266661,0.6353693506738978,4
TSLA,2024-10-24,0.04134642106548409,0.11759511833429669,0.34776172724901144,0.05069199677874089,0.5021490669972835,0.004036124441119379,0.027446645700718517,0.605851948261261,1,1,0,0,0.20412795235267325,0.00362284792723374,0.001435933257425409,0.0005878624722562108,0.0002781172637354362,0.5565794121117166,4
TSLA,2024-11-01,0.0010515035412981483,0.1518883709976384,0.0766557322830432,0.12853861517369664,0.5263363536886132,0.0009592932113956298,0.17030513877553305,0.6219534277915955,1,0,1,1,0.20374112075781367,0.04134642106548409,0.11759511833429669,0.34776172724901144,0.05069199677874089,0.5021490669972835,4
TSLA,2024-11-04,0.12994138771093672,0.009253445870889603,0.00904777360714824,0.0011261659662431802,0.6822641922782857,0.03205391484217119,0.7927781945449414,0.7775360941886902,1,1,1,1,0.2933493102019145,0.0010515035412981483,0.1518883709976384,0.0766557322830432,0.12853861517369664,0.5263363536886132,4
